disp,relative_time
0.6333525640138724,8.38
0.6318644056687716,8.4
0.6470973063573526,8.42
0.6505293714144061,8.44
0.6435071606028009,8.46
0.6268376085563192,8.48
0.614539974002715,8.5
0.6065475024179084,8.52
0.5960924487047944,8.540000000000001
0.5901295786727296,8.56
0.5713717598446313,8.58
0.5718915701391092,8.6
0.5675990114292354,8.620000000000001
0.567494580566001,8.64
0.5644346414569538,8.66
0.5637383591674068,8.68
0.5618361590618873,8.700000000000001
0.5542273383452773,8.72
0.5427390676946534,8.74
0.5183198311094215,8.76
0.50563259226022,8.78
0.4973059493689374,8.8
0.4950485496827442,8.82
0.4869972602698295,8.84
0.4933579769878311,8.86
0.4955260146705102,8.88
0.4990405280439068,8.9
0.5099113855995581,8.92
0.5221129965201956,8.94
0.5375585679375798,8.96
0.5562718013469883,8.98
0.5702271671654491,9.0
0.5741378728912702,9.02
0.5851492241685238,9.04
0.5777176930649538,9.06
0.5705896895405438,9.08
0.5738015906032405,9.1
0.5703821821050847,9.12
0.5669415440913045,9.14
0.5593595892109927,9.16
0.5604597031009756,9.18
0.5600746630146332,9.2
0.55310416946174,9.22
0.5385674354089242,9.24
0.5289596328273449,9.26
0.5253524445828992,9.28
0.5124115892130089,9.3
0.4972885838293937,9.32
0.4847297310822934,9.34
0.484699738506515,9.36
0.4886762226541395,9.38
0.4888163859323676,9.4
0.4852965287167199,9.42
0.4979122477770213,9.44
0.5030809248199245,9.46
0.4922623896943701,9.48
0.4887763525017135,9.5
0.4899017962103519,9.52
0.4904033799748489,9.54
0.4903207204398551,9.56
0.4893231593369656,9.58
0.484870291300064,9.6
0.4894924074550567,9.62
0.4860743544183256,9.64
0.4758172682048956,9.66
0.4734071950256147,9.68
0.4677748141655981,9.7
0.4597014948026706,9.72
0.4489010865828313,9.74
0.4389678276729936,9.76
0.4301430168225684,9.78
0.430177283948613,9.8
0.4365479334354941,9.82
0.4371930136554988,9.84
0.4369305829045971,9.86
0.4372838715178973,9.88
0.4321919300557691,9.9
0.4281879228286723,9.92
0.4266594732087659,9.94
0.4285797953791533,9.96
0.4367312829694574,9.98
0.444046382172024,10.0
0.4545364759869802,10.02
0.4663550083564261,10.04
0.4780747609979417,10.06
0.480766559545343,10.08
0.4863098059249361,10.1
0.488111436208848,10.12
0.4864539641950753,10.14
0.4812730652030143,10.16
0.4746750092805663,10.18
0.4753441128982753,10.2
0.4777146639857315,10.22
0.4645944630469785,10.24
0.4376584593991464,10.26
0.4064222948933783,10.28
0.3756644585774272,10.3
0.3436970610137147,10.32
0.3105395050267284,10.34
0.2856090577485151,10.36
0.2769438217754362,10.38
0.2762270784104623,10.4
0.2661203868054946,10.42
0.2605963627357953,10.44
0.2577003316265225,10.46
0.2660077476574545,10.48
0.269886436732376,10.5
0.2726104918116939,10.52
0.2773810509025631,10.54
0.2772703082223553,10.56
0.275214985359292,10.58
0.2749614010281949,10.6
0.2790644038326986,10.62
0.2800376086421752,10.64
0.2868557485966784,10.66
0.2918353955889576,10.68
0.2971978058207243,10.7
0.3015795180675012,10.72
0.2987313056547482,10.74
0.2966791154183649,10.76
0.2968091264421256,10.78
0.295944030681927,10.8
0.2944169298097043,10.82
0.2977384592635279,10.84
0.3008580018071088,10.86
0.3038673111375928,10.88
0.3137711509945861,10.9
0.3260270578673062,10.92
0.3383459008085827,10.94
0.3564909720592437,10.96
0.3718095989049865,10.98
