disp,time
0.9030510809813725,4.34
0.902901145794118,4.36
0.8992113957959762,4.38
0.9002703259205732,4.4
0.9019780720941744,4.42
0.9039710793594672,4.44
0.904709122490542,4.46
0.9056497756833194,4.48
0.9061196895758558,4.5
0.9068838329823151,4.52
0.9037498400661352,4.54
0.9036475147027818,4.56
0.9036255944640634,4.58
0.9048418804703368,4.6
0.9057401403160915,4.62
0.9062750240574721,4.64
0.9075635961602498,4.66
0.908851404249959,4.68
0.9080563489973728,4.7
0.9076583651642547,4.72
0.9066522067729388,4.74
0.9064533081203293,4.76
0.9072873099427244,4.78
0.9065379290698099,4.8
0.9069604298263056,4.82
0.9076583651642547,4.84
0.9068838329823151,4.86
0.906715180701879,4.88
0.9066383458921654,4.9
0.9067262712191654,4.92
0.9077004472897624,4.94
0.9073383056866695,4.96
0.9079632151573932,4.98
0.9067939220644832,5.0
0.9072932826573326,5.02
0.9085896984108868,5.04
0.9054789779310964,5.06
0.906715180701879,5.08
0.9072355506877039,5.1
0.9064533081203293,5.12
0.9081681116715983,5.14
0.9075600573937909,5.16
0.9068018069187489,5.18
0.9090441154209763,5.2
0.9072245147854784,5.22
0.9069880186110072,5.24
0.9081589293232687,5.26
0.9078946401738095,5.28
0.908196081149755,5.3
0.9093679119975419,5.32
0.9103818604144746,5.34
0.9094217085346488,5.36
0.9114614813094881,5.38
0.9089691203600597,5.4
0.9101880927093796,5.42
0.9104586861795128,5.44
0.9112343567265864,5.46
0.9107811884069692,5.48
0.9130672395988356,5.5
0.9127595270420382,5.52
0.9135445784894246,5.54
0.9149333402296823,5.56
0.9134734356470442,5.58
0.9156127821147259,5.6
0.9138036890667541,5.62
0.9160006654754553,5.64
0.9179538037074424,5.66
0.9180998602345758,5.68
0.9205052213320035,5.7
0.9211656531250741,5.72
0.9211635114880039,5.74
0.9208951335450997,5.76
0.9200746194606098,5.78
0.9175873296253259,5.8
0.9186170889445969,5.82
0.9168265699339944,5.84
0.9197888216122685,5.86
0.9220381904410431,5.88
0.9223508272741946,5.9
0.9217473867273643,5.92
0.9171705553107828,5.94
0.9169562708388658,5.96
0.9179270928493612,5.98
0.9183383838377387,6.0
0.9174581443653926,6.02
0.92125678236517,6.04
0.9208955937136033,6.06
0.9204123183270915,6.08
0.9223706138133763,6.1
0.9208381106791571,6.12
0.921618269493159,6.14
0.9214748168953597,6.16
0.9219361353275843,6.18
0.9241388128651671,6.2
0.9225219091690176,6.22
0.9223737756073654,6.24
0.9224895235865019,6.26
0.9208912617718987,6.28
0.9194234565376503,6.3
0.9185492435576283,6.32
0.9173178867547412,6.34
0.9154107391638638,6.36
0.9148048113616359,6.38
0.9163051810542491,6.4
0.915563753011998,6.42
0.9165822626123892,6.44
0.9153676263649863,6.46
0.9149347691394609,6.48
0.9149036320075227,6.5
0.9162408138527042,6.52
0.9160037286991405,6.54
0.9127595270420382,6.56
0.9117568811971479,6.58
0.9116914770019476,6.6
0.9125418697268531,6.62
0.9124698669933041,6.64
0.9130254472643922,6.66
0.9142320903786427,6.68
0.9130731848937447,6.7
0.9132512740948644,6.72
0.9145507435940112,6.74
0.9148458000048363,6.76
0.917712369890841,6.78
0.9181479528567744,6.8
0.9169730861755386,6.82
0.9174201987632631,6.84
0.9165466495038396,6.86
0.9168418949784465,6.88
0.9162361719044182,6.9
0.9143078385532798,6.92
0.913572749148116,6.94
0.9165227557669451,6.96
0.9172971888235977,6.98
0.915769668439644,7.0
0.9172352827215572,7.02
0.9178113364241054,7.04
0.9165955677615588,7.06
0.9162984828960283,7.08
0.9151017535727612,7.1
0.9149069332726387,7.12
0.9154949686143657,7.14
0.9163834658935004,7.16
0.916011888785848,7.18
0.9174813056478324,7.2
0.9152678106160687,7.22
0.9171028578083453,7.24
0.9164454732020134,7.26
0.9168024205432271,7.28
0.9183529321969842,7.3
0.9167786212242611,7.32
0.9155985049118043,7.34
0.9156851021983611,7.36
0.9143998848357929,7.38
0.9163810950343014,7.4
0.9171513757662865,7.42
